文件名,离群值序号,diff,fp,rx
nlos1-7.2m.csv,175,0.1520002365112303,-84.5,-79.5
nlos1-7.2m.csv,177,0.17599992752075178,-84.0,-79.5
nlos1-7.2m.csv,178,0.1130002021789549,-84.0,-79.5
nlos1-7.2m.csv,180,0.1449997901916502,-84.0,-79.5
nlos1-7.2m.csv,186,0.1930001258850096,-84.0,-79.5
nlos1-7.2m.csv,187,0.14200000762939435,-84.0,-79.5
nlos1-7.2m.csv,190,0.15699987411499006,-84.5,-79.5
nlos1-7.2m.csv,192,0.10100011825561506,-84.5,-79.5
nlos1-7.2m.csv,196,0.1280000686645506,-84.5,-79.5
nlos1-7.2m.csv,198,0.1709998130798338,-84.0,-79.5
nlos1-7.2m.csv,199,0.13500003814697248,-84.5,-79.5
nlos1-7.2m.csv,201,0.1709998130798338,-87.5,-80.5
nlos1-7.2m.csv,208,0.14999990463256818,-88.0,-80.5
nlos1-7.2m.csv,216,0.1540000915527342,-88.0,-80.5
nlos1-7.2m.csv,229,0.20500020980834943,-88.0,-80.5
nlos1-7.2m.csv,246,0.16399984359741193,-87.5,-80.5
nlos1-7.2m.csv,265,0.10800008773803693,-88.0,-79.5
nlos1-7.2m.csv,280,0.15699987411499006,-88.5,-80.5
nlos1-7.2m.csv,290,0.1689999580383299,-87.5,-80.5
nlos1-7.2m.csv,293,0.1689999580383299,-88.5,-80.5
nlos1-7.4m.csv,13,0.15299997329711879,-89.5,-79.5
nlos1-7.4m.csv,16,0.1570001602172848,-89.5,-79.5
nlos1-7.4m.csv,57,0.12099990844726527,-90.0,-82.0
nlos1-7.4m.csv,58,0.1159997940063473,-90.0,-81.0
nlos1-7.4m.csv,83,0.08299980163574183,-90.5,-81.0
nlos1-7.4m.csv,100,0.11200008392333949,-88.0,-79.5
nlos1-7.4m.csv,115,0.13599977493286097,-87.5,-80.0
nlos1-7.4m.csv,137,0.09900007247924769,-89.0,-79.5
nlos1-7.4m.csv,158,0.09200010299682582,-89.5,-79.5
nlos1-7.4m.csv,202,0.08999977111816371,-89.5,-81.0
nlos1-7.4m.csv,222,0.22300014495849574,-90.0,-80.0
nlos1-7.4m.csv,223,0.22499999999999964,-89.0,-80.0
nlos1-7.6m.csv,63,0.03999986648559606,-93.5,-81.5
nlos1-7.6m.csv,86,0.030000114440918324,-93.0,-82.0
nlos1-7.8m.csv,9,0.08899993896484393,-88.0,-88.0
nlos1-7.8m.csv,34,0.08899993896484393,-88.5,-87.5
nlos1-7.8m.csv,100,0.30000038146972674,-85.5,-79.5
